Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,WeekOfYear,Quarter,IsWeekend,CompetitionAge,PromoDuration,PreviousDaySales,PreviousWeekSales,Rolling7DaySales
919,1,2013-12-17,9365,930,1,1,0,0,a,a,2620.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",,,,,,,2013,12,17,51,4,0,2013.0,4.0,9976.0,5314.0,5636.857142857143
590,4,2013-05-24,3344,330,1,0,0,1,d,c,4520.0,9.0,2010.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",,,,,,,2013,5,24,21,2,0,3.0,0.0,3713.0,5309.0,2939.428571428572
445,3,2013-02-21,6657,1007,1,1,0,0,a,a,240.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,2,21,8,1,0,2013.0,2013.0,7413.0,5719.0,6819.428571428572
827,0,2013-09-16,9590,1373,1,0,0,0,a,c,250.0,1.0,2005.0,0,0.0,0.0,,,,,,,,2013,9,16,38,3,0,8.0,2013.0,0.0,12726.0,10366.57142857143
731,3,2015-04-23,7090,813,1,0,0,0,a,a,15270.0,0.0,0.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2015,4,23,17,2,0,2015.0,1.0,6983.0,10816.0,6533.142857142857
769,1,2014-05-27,10528,3172,1,0,0,0,b,b,840.0,0.0,0.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",,,,,,,2014,5,27,22,2,0,2014.0,2.0,10605.0,11147.0,10487.142857142857
891,4,2013-01-11,7170,1032,1,1,0,0,a,c,350.0,0.0,0.0,1,31.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2013,1,11,2,1,0,2013.0,0.0,7860.0,7123.0,6980.857142857143
696,4,2014-07-25,5843,799,1,0,0,1,a,c,430.0,0.0,0.0,0,0.0,0.0,,,,,,,,2014,7,25,30,3,0,2014.0,2014.0,5315.0,7970.0,4927.285714285715
10,4,2014-09-12,5471,594,1,0,0,0,a,a,3160.0,9.0,2009.0,0,0.0,0.0,,,,,,,,2014,9,12,37,3,0,5.0,2014.0,4512.0,5391.0,4259.0
317,1,2015-03-31,7220,629,1,1,0,1,d,a,3140.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",,,,,,,2015,3,31,14,1,0,2.0,4.0,7822.0,4040.0,5053.857142857143
1011,5,2013-10-12,7016,976,1,0,0,0,a,c,490.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov",,,,,,,2013,10,12,41,4,1,1.0,2.0,7287.0,7206.0,7353.714285714285
983,3,2013-02-07,11569,1504,1,1,0,0,a,a,40.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2013,2,7,6,1,0,0.0,0.0,13986.0,10084.0,11302.42857142857
938,3,2015-02-19,9512,992,1,1,0,0,a,a,2820.0,9.0,2009.0,0,0.0,0.0,,,,,,,,2015,2,19,8,1,0,6.0,2015.0,10280.0,7956.0,8497.0
187,1,2013-03-12,5922,853,1,0,0,0,a,c,19360.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,3,12,11,1,0,2013.0,2013.0,4873.0,8174.0,4917.142857142857
251,6,2014-08-03,0,0,0,0,0,0,a,c,340.0,0.0,0.0,0,0.0,0.0,,,,,,,,2014,8,3,31,3,1,2014.0,2014.0,15126.0,0.0,16230.142857142857
540,4,2013-09-20,3235,274,1,0,0,0,d,c,810.0,0.0,0.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",,,,,,,2013,9,20,38,3,0,2013.0,1.0,3143.0,5494.0,2983.1428571428573
40,2,2013-06-12,4012,592,1,0,0,0,a,a,180.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",,,,,,,2013,6,12,24,2,0,2013.0,4.0,3882.0,4860.0,3895.285714285714
679,4,2015-03-06,11216,1243,1,1,0,0,a,a,4140.0,9.0,2012.0,0,0.0,0.0,,,,,,,,2015,3,6,10,1,0,3.0,2015.0,11095.0,10283.0,9553.285714285714
508,0,2015-07-06,5968,647,1,0,0,1,a,c,1280.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",,,,,,,2015,7,6,28,3,0,2015.0,4.0,0.0,13455.0,7011.285714285715
617,2,2015-07-01,6661,554,1,1,0,0,a,c,8940.0,0.0,0.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",,,,,,,2015,7,1,27,3,0,2015.0,4.0,10771.0,6013.0,6004.857142857143
1043,4,2013-12-27,13453,2006,1,0,0,1,c,a,420.0,3.0,2006.0,0,0.0,0.0,,,,,,,,2013,12,27,52,4,0,7.0,2013.0,0.0,19217.0,7724.428571428572
423,1,2015-06-09,9038,1746,1,0,0,0,b,a,1270.0,5.0,2014.0,0,0.0,0.0,,,,,,,,2015,6,9,24,2,0,1.0,2015.0,10646.0,11053.0,11691.857142857143
28,4,2014-03-14,4635,566,1,0,0,0,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",,,,,,,2014,3,14,11,1,0,0.0,0.0,4679.0,6202.0,3370.1428571428573
840,3,2014-06-12,7072,1080,1,0,0,0,a,a,1070.0,9.0,2009.0,0,0.0,0.0,,,,,,,,2014,6,12,24,2,0,5.0,2014.0,7248.0,8585.0,5019.0
1052,4,2013-12-13,7657,810,1,0,0,0,a,c,5080.0,0.0,0.0,1,31.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2013,12,13,50,4,0,2013.0,0.0,7083.0,8278.0,5979.857142857143
622,6,2015-02-22,0,0,0,0,0,0,a,c,2325.0,0.0,0.0,0,0.0,0.0,,,,,,,,2015,2,22,8,1,1,2015.0,2015.0,2387.0,0.0,3841.285714285714
211,0,2013-04-22,18257,1896,1,1,0,0,a,c,350.0,11.0,2006.0,0,0.0,0.0,,,,,,,,2013,4,22,17,2,0,7.0,2013.0,0.0,10969.0,9942.142857142857
533,5,2015-02-21,6858,658,1,0,0,0,a,c,5950.0,0.0,0.0,0,0.0,0.0,,,,,,,,2015,2,21,8,1,1,2015.0,2015.0,11052.0,7345.0,8908.142857142857
240,0,2013-02-18,6166,546,1,1,0,0,a,a,1110.0,5.0,2009.0,0,0.0,0.0,,,,,,,,2013,2,18,8,1,0,4.0,2013.0,0.0,4545.0,3613.142857142857
996,2,2014-02-05,7694,763,1,1,0,0,c,a,2870.0,7.0,2015.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",,,,,,,2014,2,5,6,1,0,0.0,4.0,8282.0,4988.0,6166.0
539,2,2013-09-18,7251,839,1,0,0,0,a,a,770.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2013,9,18,38,3,0,0.0,0.0,8918.0,12409.0,8026.0
525,2,2014-08-13,8547,775,1,0,0,1,d,c,1870.0,9.0,2013.0,0,0.0,0.0,,,,,,,,2014,8,13,33,3,0,1.0,2014.0,8436.0,9050.0,7571.571428571428
48,3,2013-12-19,5252,548,1,1,0,1,a,a,1060.0,5.0,2012.0,0,0.0,0.0,,,,,,,,2013,12,19,51,4,0,1.0,2013.0,5957.0,4411.0,4933.857142857143
946,1,2014-04-29,5540,646,1,1,0,0,a,a,2220.0,12.0,2011.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct",,,,,,,2014,4,29,18,2,0,3.0,0.0,5846.0,4013.0,3425.0
1016,4,2014-04-25,4355,440,1,0,0,1,c,c,550.0,0.0,0.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec",,,,,,,2014,4,25,17,2,0,2014.0,4.0,3187.0,0.0,2774.1428571428573
411,2,2013-07-24,6248,550,1,0,0,1,d,c,8460.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,7,24,30,3,0,2013.0,2013.0,6887.0,9509.0,6618.857142857143
707,4,2015-02-27,10771,1118,1,0,0,0,a,c,2900.0,7.0,1990.0,0,0.0,0.0,,,,,,,,2015,2,27,9,1,0,25.0,2015.0,7540.0,8541.0,6176.285714285715
853,3,2013-01-24,8407,936,1,1,0,0,a,a,14040.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,1,24,4,1,0,2013.0,2013.0,9472.0,5675.0,7488.857142857143
247,1,2014-07-22,6839,567,1,0,0,0,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2014,7,22,30,3,0,4.0,1.0,8535.0,10406.0,7095.571428571428
1100,5,2015-04-04,4900,580,1,0,0,0,a,a,540.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",,,,,,,2015,4,4,14,2,1,2015.0,4.0,0.0,2859.0,5277.0
84,2,2015-07-22,11102,1254,1,0,0,1,a,c,11810.0,8.0,2014.0,0,0.0,0.0,,,,,,,,2015,7,22,30,3,0,1.0,2015.0,11458.0,14569.0,10177.0
256,2,2014-10-01,13178,1543,1,1,0,0,a,c,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",,,,,,,2014,10,1,40,4,0,9.0,0.0,15097.0,6214.0,9824.57142857143
526,4,2014-08-08,9628,1322,1,1,0,1,a,a,120.0,0.0,0.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",,,,,,,2014,8,8,32,3,0,2014.0,3.0,11312.0,10639.0,9654.857142857143
607,3,2015-01-22,2759,346,1,0,0,0,a,a,350.0,8.0,1999.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",,,,,,,2015,1,22,4,1,0,16.0,4.0,2815.0,4230.0,2306.714285714286
711,6,2013-05-19,0,0,0,0,0,0,d,a,17110.0,3.0,2007.0,1,5.0,2010.0,"Jan,Apr,Jul,Oct",,,,,,,2013,5,19,20,2,1,6.0,3.0,6039.0,0.0,6785.857142857143
304,1,2013-01-22,7442,1038,1,1,0,0,a,a,1950.0,7.0,2015.0,0,0.0,0.0,,,,,,,,2013,1,22,4,1,0,0.0,2013.0,8352.0,5345.0,5087.571428571428
691,5,2013-12-14,10150,704,1,0,0,0,d,c,3030.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",,,,,,,2013,12,14,50,4,1,2013.0,4.0,8423.0,8279.0,6762.285714285715
194,4,2014-08-29,4974,410,1,0,0,1,d,c,16970.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2014,8,29,35,3,0,2014.0,1.0,3994.0,5500.0,3388.428571428572
403,4,2014-09-05,7845,797,1,1,0,0,a,a,4970.0,7.0,2015.0,0,0.0,0.0,,,,,,,,2014,9,5,36,3,0,0.0,2014.0,7856.0,7682.0,6911.714285714285
230,0,2014-12-01,11952,1268,1,1,0,0,d,c,6680.0,9.0,2013.0,0,0.0,0.0,,,,,,,,2014,12,1,49,4,0,1.0,2014.0,0.0,10038.0,8709.0
509,0,2014-10-06,9094,665,1,1,0,0,a,a,4740.0,7.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",,,,,,,2014,10,6,41,4,0,6.0,5.0,0.0,9470.0,5389.0
138,3,2013-10-17,5942,706,1,0,0,0,a,c,25360.0,10.0,2014.0,0,0.0,0.0,,,,,,,,2013,10,17,42,4,0,0.0,2013.0,6972.0,8616.0,5391.142857142857
108,5,2013-07-20,10024,859,1,0,0,0,d,c,2190.0,9.0,2003.0,0,0.0,0.0,,,,,,,,2013,7,20,29,3,1,10.0,2013.0,10502.0,9807.0,9689.57142857143
473,5,2014-07-12,2106,302,1,0,0,0,a,a,50.0,0.0,0.0,0,0.0,0.0,,,,,,,,2014,7,12,28,3,1,2014.0,2014.0,3184.0,2291.0,2275.428571428572
102,4,2013-09-13,7668,1181,1,1,0,0,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",,,,,,,2013,9,13,37,3,0,6.0,0.0,7803.0,3945.0,6994.428571428572
136,0,2013-11-25,5842,397,1,0,0,0,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov",,,,,,,2013,11,25,48,4,0,3.0,1.0,0.0,10084.0,5389.285714285715
59,0,2014-08-11,5065,574,1,0,0,1,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",,,,,,,2014,8,11,33,3,0,7.0,3.0,0.0,7985.0,4279.428571428572
128,0,2013-12-02,11867,817,1,1,0,0,d,c,2000.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",,,,,,,2013,12,2,49,4,0,2013.0,0.0,0.0,7728.0,7060.0
286,2,2014-03-05,5967,503,1,1,0,0,a,a,1460.0,4.0,2015.0,0,0.0,0.0,,,,,,,,2014,3,5,10,1,0,0.0,2014.0,5930.0,4097.0,4329.571428571428
362,4,2013-09-27,9579,1145,1,1,0,0,c,c,340.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,9,27,39,3,0,2013.0,2013.0,8292.0,6503.0,7575.0
893,3,2013-09-26,5413,748,1,1,0,0,a,a,130.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",,,,,,,2013,9,26,39,3,0,2013.0,0.0,6815.0,5466.0,5266.857142857143
708,4,2014-08-29,0,0,0,0,0,1,c,c,11470.0,10.0,2009.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2014,8,29,35,3,0,5.0,0.0,0.0,0.0,0.0
811,5,2013-05-04,3709,666,1,0,0,0,a,a,410.0,9.0,2012.0,0,0.0,0.0,,,,,,,,2013,5,4,18,2,1,1.0,2013.0,4646.0,3845.0,3579.0
94,2,2014-11-05,8593,715,1,1,0,0,d,c,14620.0,0.0,0.0,0,0.0,0.0,,,,,,,,2014,11,5,45,4,0,2014.0,2014.0,9945.0,5056.0,6752.571428571428
466,5,2013-07-27,3821,351,1,0,0,0,a,c,3110.0,3.0,2003.0,0,0.0,0.0,,,,,,,,2013,7,27,30,3,1,10.0,2013.0,6766.0,4465.0,4738.0
927,5,2013-02-23,3895,559,1,0,0,0,a,a,480.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,2,23,8,1,1,2013.0,2013.0,5801.0,4527.0,5714.142857142857
220,3,2013-04-18,3887,569,1,0,0,0,a,a,1000.0,9.0,2008.0,0,0.0,0.0,,,,,,,,2013,4,18,16,2,0,5.0,2013.0,3664.0,4894.0,3498.714285714286
275,6,2015-01-11,0,0,0,0,0,0,d,a,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2015,1,11,2,1,1,1.0,1.0,7818.0,0.0,6086.0
399,3,2013-03-28,8067,742,1,1,0,1,a,a,5360.0,9.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",,,,,,,2013,3,28,13,1,0,1.0,2.0,7078.0,5410.0,5740.428571428572
937,6,2013-07-21,0,0,0,0,0,1,d,a,2810.0,0.0,0.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2013,7,21,29,3,1,2013.0,0.0,6601.0,0.0,7413.571428571428
56,6,2014-10-12,0,0,0,0,0,0,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",,,,,,,2014,10,12,41,4,1,2.0,0.0,7938.0,0.0,6849.0
329,5,2015-04-18,4125,411,1,0,0,0,a,a,1310.0,6.0,1990.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",,,,,,,2015,4,18,16,2,1,25.0,3.0,8954.0,4468.0,6849.285714285715
417,0,2014-11-24,9535,928,1,1,0,0,a,c,840.0,0.0,0.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2014,11,24,48,4,0,2014.0,0.0,0.0,6287.0,5287.714285714285
124,6,2015-06-21,0,0,0,0,0,0,a,a,1410.0,4.0,2003.0,0,0.0,0.0,,,,,,,,2015,6,21,25,2,1,12.0,2015.0,2779.0,0.0,4203.857142857143
1113,4,2014-06-27,5758,632,1,0,0,0,a,c,9260.0,0.0,0.0,0,0.0,0.0,,,,,,,,2014,6,27,26,2,0,2014.0,2014.0,5922.0,6759.0,4678.571428571428
865,3,2013-08-08,6239,544,1,0,0,1,d,c,2640.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,8,8,32,3,0,2013.0,2013.0,6702.0,6908.0,5602.714285714285
479,1,2013-07-16,13416,1589,1,1,0,1,a,a,320.0,12.0,2005.0,1,9.0,2011.0,"Feb,May,Aug,Nov",,,,,,,2013,7,16,29,3,0,8.0,2.0,14863.0,10652.0,9496.57142857143
314,2,2014-01-22,5773,598,1,1,0,0,a,a,3560.0,10.0,2001.0,1,31.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2014,1,22,4,1,0,13.0,1.0,6129.0,4019.0,4583.714285714285
741,4,2013-11-29,9033,924,1,0,0,0,d,c,11900.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,11,29,48,4,0,2013.0,2013.0,7153.0,6821.0,5994.428571428572
987,2,2013-09-04,5746,793,1,0,0,0,c,a,1690.0,6.0,2007.0,0,0.0,0.0,,,,,,,,2013,9,4,36,3,0,6.0,2013.0,6540.0,6202.0,5904.714285714285
551,4,2015-07-31,11632,1278,1,1,0,1,a,c,2190.0,9.0,2013.0,0,0.0,0.0,,,,,,,,2015,7,31,31,3,0,2.0,2015.0,6429.0,5599.0,5992.285714285715
632,2,2015-02-11,6146,866,1,0,0,0,a,a,3350.0,2.0,2010.0,0,0.0,0.0,,,,,,,,2015,2,11,7,1,0,5.0,2015.0,6190.0,7073.0,5686.714285714285
72,5,2015-06-13,2540,289,1,0,0,0,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",,,,,,,2015,6,13,24,2,1,6.0,5.0,3534.0,2695.0,2944.428571428572
458,2,2013-06-26,5066,557,1,0,0,0,c,a,3390.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,6,26,26,2,0,2013.0,2013.0,5295.0,7285.0,6060.428571428572
435,2,2015-07-08,3042,362,1,0,0,1,a,a,910.0,0.0,0.0,0,0.0,0.0,,,,,,,,2015,7,8,28,3,0,2015.0,2015.0,2772.0,3589.0,2490.428571428572
793,1,2013-09-10,6141,499,1,1,0,0,d,a,2710.0,7.0,2006.0,0,0.0,0.0,,,,,,,,2013,9,10,37,3,0,7.0,2013.0,10098.0,3230.0,4186.571428571428
179,5,2014-11-29,10330,1259,1,0,0,0,a,c,480.0,0.0,0.0,0,0.0,0.0,,,,,,,,2014,11,29,48,4,1,2014.0,2014.0,11270.0,7304.0,8570.0
327,6,2013-11-24,0,0,0,0,0,0,c,c,1390.0,12.0,2004.0,0,0.0,0.0,,,,,,,,2013,11,24,47,4,1,9.0,2013.0,7621.0,0.0,7028.285714285715
391,3,2014-02-06,7167,840,1,1,0,0,a,a,460.0,11.0,2014.0,1,31.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2014,2,6,6,1,0,0.0,1.0,6409.0,5410.0,6452.0
643,6,2015-04-12,0,0,0,0,0,0,a,a,230.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",,,,,,,2015,4,12,15,2,1,5.0,5.0,5553.0,0.0,5041.428571428572
777,4,2014-08-22,4869,421,1,1,0,1,d,c,8250.0,10.0,2004.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec",,,,,,,2014,8,22,34,3,0,10.0,1.0,4784.0,3631.0,4184.142857142857
1011,0,2013-04-08,11048,1236,1,1,0,0,a,c,490.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov",,,,,,,2013,4,8,15,2,0,1.0,2.0,0.0,0.0,6179.571428571428
228,4,2013-12-20,12083,882,1,1,0,0,d,c,10800.0,0.0,0.0,1,18.0,2011.0,"Feb,May,Aug,Nov",,,,,,,2013,12,20,51,4,0,2013.0,2.0,12192.0,7641.0,10229.857142857143
278,3,2015-01-29,6279,604,1,1,0,0,a,c,9260.0,2.0,2010.0,0,0.0,0.0,,,,,,,,2015,1,29,5,1,0,5.0,2015.0,6948.0,5706.0,5619.857142857143
300,1,2015-04-14,8407,1025,1,1,0,0,a,c,120.0,4.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",,,,,,,2015,4,14,16,2,0,6.0,3.0,8694.0,8416.0,6292.142857142857
961,6,2013-07-21,0,0,0,0,0,0,d,c,9430.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,7,21,29,3,1,2013.0,2013.0,6066.0,0.0,6089.0
462,4,2013-05-17,4753,644,1,1,0,1,a,a,44320.0,8.0,2008.0,0,0.0,0.0,,,,,,,,2013,5,17,20,2,0,5.0,2013.0,4914.0,5616.0,4263.714285714285
994,3,2014-05-15,3579,396,1,0,0,0,a,a,2290.0,7.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",,,,,,,2014,5,15,20,2,0,3.0,2.0,3501.0,4119.0,3045.714285714286
881,1,2014-07-01,6615,866,1,1,0,0,a,a,180.0,3.0,2008.0,1,31.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2014,7,1,27,3,0,6.0,1.0,9551.0,3074.0,4146.0
627,1,2015-03-10,4474,487,1,0,0,0,c,c,3970.0,3.0,2010.0,0,0.0,0.0,,,,,,,,2015,3,10,11,1,0,5.0,2015.0,5118.0,7729.0,5289.571428571428
179,6,2015-02-08,0,0,0,0,0,0,a,c,480.0,0.0,0.0,0,0.0,0.0,,,,,,,,2015,2,8,6,1,1,2015.0,2015.0,6599.0,0.0,7461.714285714285
534,6,2015-01-18,0,0,0,0,0,0,d,a,1200.0,9.0,2009.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",,,,,,,2015,1,18,3,1,1,6.0,6.0,8246.0,0.0,7249.857142857143
137,4,2013-01-11,8840,1054,1,1,0,0,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",,,,,,,2013,1,11,2,1,0,0.0,0.0,6995.0,8224.0,7095.142857142857
220,6,2015-02-22,0,0,0,0,0,0,a,a,1000.0,9.0,2008.0,0,0.0,0.0,,,,,,,,2015,2,22,8,1,1,7.0,2015.0,3555.0,0.0,3752.0
972,1,2015-01-20,2415,295,1,0,0,0,a,a,14960.0,0.0,0.0,0,0.0,0.0,,,,,,,,2015,1,20,4,1,0,2015.0,2015.0,2553.0,3998.0,2301.1428571428573
909,4,2015-01-16,11811,1097,1,1,0,0,a,c,1680.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",,,,,,,2015,1,16,3,1,0,2015.0,6.0,11635.0,11891.0,10006.57142857143
463,4,2014-10-10,6043,1011,1,1,0,1,a,a,4160.0,0.0,0.0,0,0.0,0.0,,,,,,,,2014,10,10,41,4,0,2014.0,2014.0,6405.0,0.0,5855.571428571428
867,5,2013-06-29,4232,439,1,0,0,0,d,c,21810.0,9.0,2012.0,0,0.0,0.0,,,,,,,,2013,6,29,26,2,1,1.0,2013.0,4790.0,4394.0,3779.714285714286
45,6,2014-03-30,0,0,0,0,0,0,d,a,9710.0,2.0,2014.0,0,0.0,0.0,,,,,,,,2014,3,30,13,1,1,0.0,2014.0,5167.0,0.0,3229.8571428571427
932,0,2013-02-11,6599,717,1,0,0,1,a,a,15700.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",,,,,,,2013,2,11,7,1,0,2013.0,3.0,0.0,7525.0,6705.571428571428
552,0,2013-07-01,9486,859,1,1,0,0,a,a,4260.0,7.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",,,,,,,2013,7,1,27,3,0,5.0,4.0,0.0,6523.0,5891.857142857143
735,0,2013-07-22,3392,395,1,0,0,1,d,c,1920.0,4.0,2005.0,0,0.0,0.0,,,,,,,,2013,7,22,30,3,0,8.0,2013.0,0.0,9790.0,4080.285714285714
669,5,2013-03-16,3849,359,1,0,0,0,d,a,17080.0,7.0,2012.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",,,,,,,2013,3,16,11,1,1,1.0,0.0,4314.0,4088.0,2917.0
143,1,2013-08-20,4198,461,1,0,0,0,d,a,2930.0,12.0,2002.0,0,0.0,0.0,,,,,,,,2013,8,20,34,3,0,11.0,2013.0,4872.0,7684.0,4630.142857142857
592,1,2013-07-02,6031,739,1,1,0,0,a,a,2540.0,6.0,2005.0,0,0.0,0.0,,,,,,,,2013,7,2,27,3,0,8.0,2013.0,7561.0,3802.0,4108.571428571428
670,3,2013-08-22,4617,543,1,0,0,1,a,a,2060.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",,,,,,,2013,8,22,34,3,0,2013.0,4.0,5392.0,0.0,4883.285714285715
